Brand,Model,Year,Price_PKR,KM_Driven,Fuel_Type,Transmission,Engine_CC,City,Body_Type,Registered_In,Assembly,Color,Owner_Type,Ad_URL
Suzuki,Alto,2023,4100000.0,10000.0,Hybrid,Automatic,660.0,Karachi,Hatchback,Un-Registered,Imported,White,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2023-for-sale-in-karachi-11605272
Suzuki,Alto,2025,3380000.0,4436.0,Petrol,Automatic,660.0,Rawalpindi,Hatchback,Islamabad,Local,White,First Owner,https://www.pakwheels.com/used-cars/suzuki-alto-2025-for-sale-in-rawalpindi-11786532
Suzuki,Alto,2025,2930000.0,26350.0,Petrol,Automatic,660.0,Lahore,Hatchback,Punjab,Local,Grey,First Owner,https://www.pakwheels.com/used-cars/suzuki-alto-2025-for-sale-in-lahore-11787669
Suzuki,Alto,2020,2450000.0,78835.0,Petrol,Manual,660.0,Lahore,Hatchback,Punjab,Local,Silver,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2020-for-sale-in-lahore-11743369
Suzuki,Alto,2010,1530000.0,27000.0,Petrol,Manual,1000.0,Islamabad,Hatchback,Punjab,Local,White,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2010-for-sale-in-islamabad-11757665
Suzuki,Alto,2011,2080000.0,210131.0,Petrol,Automatic,660.0,Rawalpindi,Hatchback,Karachi,Imported,White,Second Owner or More,https://www.pakwheels.com/used-cars/suzuki-alto-2011-for-sale-in-rawalpindi-11568552
Suzuki,Alto,2003,1150000.0,176549.0,Petrol,Manual,1000.0,Islamabad,Hatchback,Islamabad,Local,Silver,Second Owner or More,https://www.pakwheels.com/used-cars/suzuki-alto-2003-for-sale-in-islamabad-11738684
Suzuki,Alto,2007,1235000.0,2000.0,Petrol,Automatic,660.0,Karachi,Hatchback,Karachi,Local,Gold,First Owner,https://www.pakwheels.com/used-cars/suzuki-alto-2007-for-sale-in-karachi-11787276
Suzuki,Alto,2019,2550000.0,76905.0,Petrol,Automatic,660.0,Karachi,Hatchback,Karachi,Local,White,First Owner,https://www.pakwheels.com/used-cars/suzuki-alto-2019-for-sale-in-karachi-11673636
Suzuki,Alto,2022,3400000.0,25000.0,Hybrid,Automatic,660.0,Gujranwala,Hatchback,Punjab,Local,Blue,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2022-for-sale-in-gujranwala-11782936
Suzuki,Alto,2017,2300000.0,117694.0,Petrol,Automatic,660.0,Karachi,Hatchback,Sindh,Imported,Silver,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2017-for-sale-in-karachi-11726904
Suzuki,Alto,2026,3400000.0,1100.0,Petrol,Automatic,660.0,Islamabad,Hatchback,Islamabad,Local,White,First Owner,https://www.pakwheels.com/used-cars/suzuki-alto-2026-for-sale-in-islamabad-11708553
Suzuki,Alto,2012,1250000.0,150.0,Petrol,Manual,1000.0,Jalalpur Jattan,Hatchback,Punjab,Local,White,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2012-for-sale-in-jalalpur-jattan-11788040
Suzuki,Alto,2024,2990000.0,47000.0,Petrol,Automatic,660.0,Faisalabad,Hatchback,Punjab,Local,White,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2024-for-sale-in-faisalabad-11788039
Suzuki,Alto,2006,690000.0,1.0,Petrol,Manual,1000.0,Karachi,Hatchback,Karachi,Local,Unlisted,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2006-for-sale-in-karachi-11788012
Suzuki,Alto,2012,1100000.0,9300.0,Petrol,Manual,1000.0,Jalalpur Jattan,Hatchback,Lahore,Local,Blue,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2012-for-sale-in-jalalpur-jattan-11787941
Suzuki,Alto,2020,3200000.0,90000.0,Petrol,Automatic,660.0,Peshawar,Hatchback,Un-Registered,Imported,White,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2020-for-sale-in-peshawar-11787922
Suzuki,Alto,2022,2620000.0,87000.0,Petrol,Manual,660.0,Lahore,Hatchback,Lahore,Local,Silver,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2022-for-sale-in-lahore-11787771
Suzuki,Alto,2006,875000.0,216000.0,Petrol,Manual,1000.0,Rajana,Hatchback,Punjab,Local,Silver,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2006-for-sale-in-rajana-11787909
Suzuki,Alto,2006,755000.0,50000.0,Petrol,Manual,1000.0,Faisalabad,Hatchback,Faisalabad,Local,White,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2006-for-sale-in-faisalabad-11787856
Suzuki,Alto,2024,2900000.0,47000.0,Petrol,Manual,660.0,Faisalabad,Hatchback,Punjab,Local,Bronze,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2024-for-sale-in-faisalabad-11787837
Suzuki,Alto,2022,2725000.0,55300.0,Petrol,Automatic,660.0,Karachi,Hatchback,Sindh,Local,White,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2022-for-sale-in-karachi-11787813
Suzuki,Alto,2025,3225000.0,40000.0,Petrol,Automatic,660.0,Lahore,Hatchback,Abbottabad,Local,White,First Owner,https://www.pakwheels.com/used-cars/suzuki-alto-2025-for-sale-in-lahore-11787737
Suzuki,Alto,2020,2350000.0,42500.0,Petrol,Manual,660.0,Mirpur khas,Hatchback,Karachi,Local,White,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2020-for-sale-in-mirpur-khas-11787776
Suzuki,Alto,2021,2465000.0,68000.0,Petrol,Manual,660.0,Faisalabad,Hatchback,Punjab,Local,White,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2021-for-sale-in-faisalabad-11787761
Suzuki,Alto,2024,2750000.0,50000.0,Petrol,Manual,660.0,Hyderabad,Hatchback,Karachi,Local,White,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2024-for-sale-in-hyderabad-11787718
Suzuki,Alto,2025,3500000.0,65.0,Petrol,Automatic,660.0,Lahore,Hatchback,Punjab,Local,Silver,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2025-for-sale-in-lahore-11787639
Suzuki,Alto,2006,920000.0,130000.0,LPG,Manual,1000.0,Lahore,Hatchback,Lahore,Local,White,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2006-for-sale-in-lahore-11787623
Suzuki,Alto,2008,1025000.0,100000.0,Petrol,Manual,1000.0,Sarai alamgir,Hatchback,Lahore,Local,Unlisted,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2008-for-sale-in-sarai-alamgir-11651239
Suzuki,Alto,2026,2200000.0,11000.0,Petrol,Manual,660.0,Lahore,Hatchback,Punjab,Local,White,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2026-for-sale-in-lahore-11787608
Suzuki,Alto,2020,2150000.0,77000.0,Petrol,Manual,660.0,Karachi,Hatchback,Karachi,Local,Silver,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2020-for-sale-in-karachi-11787593
Suzuki,Alto,2026,3500000.0,5000.0,Petrol,Automatic,660.0,Faisalabad,Hatchback,Abbottabad,Local,White,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2026-for-sale-in-faisalabad-11787581
Suzuki,Alto,2012,1335000.0,80000.0,Petrol,Manual,1000.0,Hyderabad,Hatchback,Un-Registered,Local,White,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2012-for-sale-in-hyderabad-11787571
Suzuki,Alto,2025,3200000.0,32900.0,Petrol,Automatic,660.0,Faisalabad,Hatchback,Punjab,Local,White,First Owner,https://www.pakwheels.com/used-cars/suzuki-alto-2025-for-sale-in-faisalabad-11715209
Suzuki,Alto,2024,3040000.0,37000.0,Petrol,Automatic,660.0,Faisalabad,Hatchback,Punjab,Local,White,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2024-for-sale-in-faisalabad-11765601
Suzuki,Alto,2026,3450000.0,6000.0,Petrol,Automatic,660.0,Talagang,Hatchback,Islamabad,Local,White,First Owner,https://www.pakwheels.com/used-cars/suzuki-alto-2026-for-sale-in-talagang-11786981
Suzuki,Alto,2016,2790000.0,121000.0,Petrol,Automatic,658.0,Islamabad,Hatchback,Islamabad,Imported,Silver,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2016-for-sale-in-islamabad-11739229
Suzuki,Alto,2010,1330000.0,97000.0,Petrol,Manual,1000.0,Lahore,Hatchback,Lahore,Local,White,Second Owner or More,https://www.pakwheels.com/used-cars/suzuki-alto-2010-for-sale-in-lahore-11731096
Suzuki,Alto,2023,4100000.0,65000.0,Hybrid,Automatic,660.0,Karachi,Hatchback,Un-Registered,Imported,Bronze,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2023-for-sale-in-karachi-11744334
Suzuki,Alto,2000,1374000.0,216224.0,Petrol,Automatic,660.0,Peshawar,Hatchback,Peshawar,Imported,Silver,Second Owner or More,https://www.pakwheels.com/used-cars/suzuki-alto-2000-for-sale-in-peshawar-11633163
Suzuki,Alto,2014,2475000.0,100000.0,Petrol,Automatic,660.0,Rawalpindi,Hatchback,Islamabad,Imported,White,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2014-for-sale-in-rawalpindi-11786663
Suzuki,Alto,2012,1450000.0,125000.0,Petrol,Manual,1000.0,Rawalpindi,Hatchback,Islamabad,Local,White,Second Owner or More,https://www.pakwheels.com/used-cars/suzuki-alto-2012-for-sale-in-rawalpindi-11762242
Suzuki,Alto,2007,1925000.0,122071.0,Petrol,Automatic,660.0,Lahore,Hatchback,Punjab,Imported,Unlisted,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2007-for-sale-in-lahore-11671521
Suzuki,Alto,2024,3165000.0,12300.0,Petrol,Automatic,660.0,Islamabad,Hatchback,Punjab,Local,White,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2024-for-sale-in-islamabad-11776282
Suzuki,Alto,2012,1200000.0,254465.0,Petrol,Manual,1000.0,Peshawar,Hatchback,Islamabad,Local,Grey,Second Owner or More,https://www.pakwheels.com/used-cars/suzuki-alto-2012-for-sale-in-peshawar-11786292
Suzuki,Alto,2022,2480000.0,72000.0,Petrol,Manual,660.0,Lahore,Hatchback,Sindh,Local,White,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2022-for-sale-in-lahore-11787522
Suzuki,Alto,2011,1325000.0,1238.0,Petrol,Automatic,660.0,Lahore,Hatchback,Punjab,Local,Unlisted,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2011-for-sale-in-lahore-11787498
Suzuki,Alto,2023,3050000.0,16000.0,Petrol,Automatic,660.0,Karachi,Hatchback,Karachi,Local,Silver,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2023-for-sale-in-karachi-11787494
Suzuki,Alto,2024,2960000.0,47000.0,Petrol,Automatic,660.0,Faisalabad,Hatchback,Islamabad,Local,White,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2024-for-sale-in-faisalabad-11787468
Suzuki,Alto,2022,2550000.0,51000.0,Petrol,Manual,1000.0,Karachi,Hatchback,Karachi,Local,Grey,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2022-for-sale-in-karachi-11787467
Suzuki,Alto,2024,2850000.0,58000.0,Petrol,Manual,660.0,Karachi,Hatchback,Karachi,Local,Silver,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2024-for-sale-in-karachi-11787367
Suzuki,Alto,2026,3375000.0,5000.0,Petrol,Automatic,660.0,Karachi,Hatchback,Karachi,Local,Grey,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2026-for-sale-in-karachi-11783755
Suzuki,Alto,2022,2610000.0,76000.0,Petrol,Manual,1000.0,Lahore,Hatchback,Islamabad,Local,White,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2022-for-sale-in-lahore-11762363
Suzuki,Alto,2014,2625000.0,91000.0,Petrol,Automatic,660.0,Dargai,Hatchback,Islamabad,Imported,White,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2014-for-sale-in-dargai-11787318
Suzuki,Alto,2006,835000.0,50000.0,Petrol,Manual,1000.0,Lahore,Hatchback,Faisalabad,Local,White,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2006-for-sale-in-lahore-11787303
Suzuki,Alto,2005,1350000.0,50000.0,Petrol,Automatic,660.0,Rawalpindi,Hatchback,Islamabad,Imported,Silver,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2005-for-sale-in-rawalpindi-11787268
Suzuki,Alto,2019,3300000.0,90000.0,Petrol,Automatic,660.0,Islamabad,Hatchback,Islamabad,Imported,White,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2019-for-sale-in-islamabad-11787051
Suzuki,Alto,2019,2350000.0,60000.0,Petrol,Automatic,660.0,Larkana,Hatchback,Sindh,Local,Silver,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2019-for-sale-in-larkana-11787150
Suzuki,Alto,2026,3009835.0,8.0,Petrol,Automatic,660.0,Lahore,Hatchback,Un-Registered,Local,Silver,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2026-for-sale-in-lahore-11786720
Suzuki,Alto,2022,2840000.0,52000.0,Petrol,Automatic,660.0,Lahore,Hatchback,Punjab,Local,White,First Owner,https://www.pakwheels.com/used-cars/suzuki-alto-2022-for-sale-in-lahore-11787057
Suzuki,Alto,2022,2535000.0,70000.0,Petrol,Manual,660.0,Karachi,Hatchback,Sindh,Local,White,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2022-for-sale-in-karachi-11787109
Suzuki,Alto,2011,1100000.0,70600.0,Petrol,Manual,1000.0,Karachi,Hatchback,Sindh,Local,Green,Second Owner or More,https://www.pakwheels.com/used-cars/suzuki-alto-2011-for-sale-in-karachi-11787107
Suzuki,Alto,2026,3326000.0,15.0,Petrol,Automatic,660.0,Lahore,Hatchback,Un-Registered,Local,White,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2026-for-sale-in-lahore-11749003
Suzuki,Alto,2023,4040000.0,20508.0,Hybrid,Automatic,660.0,Multan,Mini Vehicles,Punjab,Local,White,First Owner,https://www.pakwheels.com/used-cars/suzuki-alto-2023-for-sale-in-multan-11655644
Suzuki,Alto,2022,2470000.0,48000.0,Petrol,Manual,1000.0,Lahore,Hatchback,Punjab,Local,White,First Owner,https://www.pakwheels.com/used-cars/suzuki-alto-2022-for-sale-in-lahore-11764817
Suzuki,Alto,2011,1315000.0,174000.0,Petrol,Manual,1000.0,Lahore,Hatchback,Lahore,Local,Grey,First Owner,https://www.pakwheels.com/used-cars/suzuki-alto-2011-for-sale-in-lahore-11786180
Suzuki,Alto,2024,2950000.0,55000.0,Petrol,Automatic,660.0,Hafizabad,Hatchback,Punjab,Local,White,First Owner,https://www.pakwheels.com/used-cars/suzuki-alto-2024-for-sale-in-hafizabad-11771210
Suzuki,Alto,2021,2450000.0,62000.0,Petrol,Manual,660.0,Wazirabad,Hatchback,Lahore,Local,Silver,Unknown,https://www.pakwheels.com/used-cars/suzuki-alto-2021-for-sale-in-wazirabad-11785711
